Ticker,Cluster
ions,13
ip,4
ipg,4
ir,4
irm,13
isrg,13
itt,13
itub,15
itw,13
ivz,19
jaso,11
jazz,8
jbht,13
jbl,14
jblu,1
jci,13
jcp,0
jec,4
jhg,19
jll,4
jnj,3
jnpr,14
jpm,19
jwn,0
k,3
kbh,12
kbr,4
key,19
kgc,6
kim,17
kkr,13
klac,10
kmb,3
kmx,0
ko,3
kr,3
kss,0
ksu,4
l,13
lamr,4
laz,1
lb,0
lbtya,13
lbtyk,13
ldos,13
lea,13
len,12
lfc,15
lh,3
lii,4
lkq,13
ll,0
lll,13
lly,3
lm,19
lmt,3
lnc,19
lng,7
lnt,3
low,0
lpt,17
lrcx,10
luk,19
lulu,8
luv,1
lvlt,1
lvs,16
lyb,4
m,0
ma,13
maa,17
mac,17
man,4
mar,1
mas,12
mat,13
mbi,19
mbt,13
mcd,3
mchp,10
mck,3
mco,1
mdc,12
mdlz,3
mdr,2
mdt,13
meli,16
met,19
mfc,19
mga,4
mgm,4
mhk,4
mkc,3
mlco,16
mlm,13
mmc,13
mmm,13
mo,3
mon,13
mos,2
mrk,3
mro,2
mrvl,10
ms,19
msci,1
msft,13
msi,13
mt,15
mtb,1
mtd,13
mtg,5
mtl,18
mtw,18
mu,14
mur,2
mxim,10
mygn,13
myl,13
nbl,2
nbr,2
ncr,10
ndaq,1
ne,2
nee,3
nem,6
nflx,8
nfx,2
nke,0
nly,3
nnn,17
noc,13
nok,15
nov,2
nrg,13
nsc,13
ntap,10
ntes,16
ntrs,1
nuan,10
nue,1
nus,0
nvda,14
nvo,3
nvr,3
nvs,3
nwl,13
nxpi,14
nycb,1
o,17
oas,2
oc,4
odp,19
ohi,17
oi,4
oii,2
ois,2
oke,13
omc,13
on,14
orcl,13
orly,3
osk,4
oxy,2
paa,3
paas,6
pay,8
payx,13
pbct,3
pbr,15
pcar,4
pcg,3
pcln,8
peg,3
pep,3
pfe,3
pfg,19
pg,3
pgr,13
ph,4
phg,15
phm,12
pii,0
pkg,13
pkx,15
plce,0
pld,17
pm,3
pnc,1
pnr,13
pot,2
ppg,13
ppl,3
prgo,13
pru,19
psa,17
pten,2
ptr,15
pvh,8
pwr,13
px,13
pxd,2
qcom,10
qep,2
qvca,13
rad,1
rcl,4
rdc,2
rdn,5
re,3
reg,17
regn,8
rf,19
rgld,6
rht,10
rig,2
rio,15
rjf,1
rl,0
rmbs,14
rmd,13
rnr,3
rok,4
rop,13
rost,0
rrc,2
rs,4
rsg,3
rtn,3
ry,13
ryn,17
s,1
san,15
sanm,14
sap,13
sbac,3
sbux,0
scco,18
scg,3
schw,1
sdrl,2
shld,1
shpg,3
shw,3
sid,15
sig,0
sina,16
siri,13
sivb,1
six,13
sjm,3
skx,0
slb,2
slg,17
slm,1
sm,2
sne,1
snh,17
sni,13
snps,13
sny,13
so,3
sohu,16
spg,17
spgi,13
spn,2
spr,4
spxc,4
srcl,3
sre,3
srpt,9
ssys,14
st,13
sti,19
stld,18
sto,15
stt,1
stwd,3
stx,10
stz,13
su,2
swk,4
swks,14
swn,2
syk,13
symc,10
syna,10
syy,3
t,3
tap,3
tco,17
td,13
tdc,10
tdg,13
tdw,2
teck,18
tef,15
tel,10
ter,14
teva,3
tex,18
tgna,1
tgt,3
thc,4
tif,0
tjx,0
tkr,4
tm,13
tmo,13
tmus,1
tol,12
tot,15
tpr,0
tpx,8
trmb,10
trn,4
trow,1
trv,3
ts,15
tsco,0
tsla,10
tsm,10
tsn,3
tss,13
ttm,15
ttwo,10
tup,13
tv,1
two,3
twx,13
txn,10
txt,4
uaa,8
ual,1
udr,17
uhs,13
ul,3
ulta,0
un,3
unh,13
unm,1
unp,13
ups,13
urbn,0
uri,4
usb,1
usg,12
uthr,13
utx,13
v,13
vale,15
var,13
vfc,0
viav,14
vlo,2
vmc,1
vmw,10
vno,17
vod,3
vrsk,3
vrsn,13
vrtx,13
vrx,13
vtr,17
vz,3
wab,4
wat,13
wba,3
wbc,4
wcc,4
wcg,4
wdc,10
wdr,19
wec,3
wfc,19
wft,2
whr,4
win,3
wll,2
wltw,3
wm,3
wmb,2
wmt,3
wpm,6
wpz,3
wrb,3
wsm,0
wtw,13
wu,13
wy,1
wyn,4
wynn,8
x,18
xec,2
xel,3
xl,1
xlnx,10
xom,13
xrx,1
yum,13
zbh,13
zion,19
