Ticker,Cluster_K20,Cluster_K30,Cluster_K40,Cluster_K50
a,4,21,31,17
aa,15,4,21,23
aaba,13,2,22,18
aap,3,27,11,44
aapl,13,29,38,18
abb,15,4,29,14
abc,3,2,0,5
abev,13,2,22,16
abt,3,9,37,46
abx,6,5,10,12
acm,1,19,14,38
acn,13,2,22,1
adbe,10,1,2,18
adi,10,1,2,27
adm,13,2,0,40
adp,3,2,0,5
ads,13,19,22,16
adsk,10,1,23,2
aee,3,9,37,46
aem,6,5,10,12
aeo,0,11,11,21
aep,3,9,37,46
aer,1,19,14,38
aes,1,19,39,16
aet,13,0,28,1
afl,19,17,6,3
agco,4,21,31,17
agn,3,9,37,5
agnc,3,9,37,46
ago,19,7,35,41
agu,13,4,17,0
aig,19,26,6,3
aiz,1,2,39,40
akam,10,1,23,2
aks,18,18,36,15
alb,4,21,31,17
algn,4,0,33,48
alk,1,24,27,22
alks,13,0,33,31
all,1,2,39,40
alv,4,21,31,17
alxn,13,29,28,31
amat,10,1,2,27
amd,14,22,30,20
ame,13,19,14,38
amg,4,17,6,30
amgn,3,9,37,46
amp,19,17,6,3
amt,3,2,0,5
amtd,1,17,39,3
amx,13,19,22,16
amzn,8,29,38,8
an,0,27,11,44
andv,2,23,18,35
anf,0,11,25,21
anss,10,29,2,18
antm,13,0,28,1
aon,13,2,0,40
apa,2,23,5,35
apc,2,3,5,35
apd,13,19,22,16
aph,10,1,2,27
are,17,12,12,34
arrs,10,1,2,18
arw,10,1,23,27
asml,10,1,2,27
atge,13,0,28,40
athn,8,29,38,18
ati,18,18,36,15
atvi,3,2,22,5
au,6,5,10,12
auy,6,5,10,12
avb,17,12,12,34
avgo,10,1,23,27
avp,13,2,22,40
avt,10,1,23,27
awk,3,9,37,46
axp,1,17,39,3
axs,3,2,0,40
ayi,4,21,3,38
azn,3,2,0,5
azo,3,9,37,46
ba,13,19,14,16
bac,19,26,19,24
bam,13,19,39,16
bap,13,2,0,40
bax,3,2,0,1
bb,14,22,30,20
bbby,0,27,11,44
bbd,15,4,26,14
bbl,15,4,21,14
bbt,1,26,6,3
bby,0,27,11,44
bce,3,9,37,46
bcr,3,2,0,1
bcs,19,15,20,47
bdx,3,2,0,5
ben,1,17,6,3
bg,13,19,22,16
bhp,15,4,21,14
bid,4,21,1,29
bidu,16,16,8,19
big,0,27,11,44
biib,13,2,28,1
bk,1,17,6,3
bkd,4,21,3,42
blk,1,17,39,3
bmo,13,2,0,40
bmrn,13,29,28,31
bmy,3,9,37,46
bp,13,23,5,32
brcd,10,1,23,27
brk-a,3,2,0,40
brk-b,13,2,0,40
bsbr,15,4,26,14
bsx,13,0,28,1
bti,3,9,0,5
bud,13,2,22,16
bwa,4,21,31,17
bwld,8,29,38,8
bx,1,17,6,30
bxp,17,12,12,34
c,19,26,19,24
ca,13,19,2,18
caa,12,6,13,9
cag,3,9,37,46
cah,13,2,0,5
cake,0,27,11,8
car,4,21,1,29
cat,4,21,31,17
cavm,14,25,16,37
cb,3,2,0,40
cbg,4,21,31,30
cbi,4,21,31,17
cboe,3,9,37,46
cbs,4,21,3,42
cce,13,2,22,16
cci,13,2,22,5
ccj,15,4,17,14
cck,13,2,22,5
ccl,1,24,3,42
cde,6,5,10,25
cdns,10,29,2,18
ce,4,21,31,17
celg,13,2,28,1
ceo,15,4,26,14
cern,13,29,22,18
cf,2,23,17,0
chd,3,9,37,46
chk,2,3,18,35
chkp,13,29,2,18
chl,3,2,0,5
chrw,13,2,22,16
chs,0,11,25,21
chtr,3,2,0,5
ci,13,0,28,1
cie,2,3,18,6
cien,14,25,16,37
cit,1,19,39,40
cl,3,9,37,46
clb,13,23,17,35
clf,18,18,36,15
clr,2,3,18,6
clx,3,9,37,46
cma,19,26,19,3
cmc,18,18,31,23
cmcsa,13,2,22,16
cme,1,2,39,40
cmg,8,11,38,8
cmi,4,21,31,17
cnc,13,0,33,48
cni,13,19,22,16
cnq,2,23,5,35
cnx,2,3,18,6
cof,1,17,6,3
cog,2,3,18,6
col,13,19,22,16
coo,13,0,28,1
cop,13,23,5,32
cost,3,9,37,46
cp,13,19,14,16
cpa,13,19,22,16
cpb,3,9,37,46
cpn,13,2,0,40
cpt,17,12,12,34
cree,14,22,30,20
cri,0,27,11,8
crl,13,0,28,1
crm,10,1,23,2
crox,8,11,34,36
crus,14,25,16,37
crzo,2,3,18,6
cs,15,15,20,33
csco,10,1,2,27
csiq,11,14,4,11
csx,1,19,14,38
ctas,13,2,22,16
