Ticker,Cluster_K20,Cluster_K30,Cluster_K40,Cluster_K50
a,0,6,28,29
aa,0,23,37,2
aaba,12,20,38,19
aap,12,25,29,5
aapl,12,17,38,27
abb,3,12,11,0
abc,16,25,29,5
abev,3,12,11,46
abt,16,25,0,24
abx,1,4,4,4
acm,0,6,28,29
acn,12,17,23,27
adbe,12,17,38,19
adi,9,21,1,9
adm,12,25,23,34
adp,12,25,29,34
ads,12,17,38,27
adsk,9,20,36,19
aee,16,27,6,1
aem,1,4,4,49
aeo,19,10,30,10
aep,16,27,6,1
aer,0,6,28,29
aes,3,2,23,6
aet,12,25,29,34
afl,18,0,5,12
agco,0,23,28,2
agn,14,25,29,38
agnc,16,27,6,1
ago,18,16,34,23
agu,3,23,11,2
aig,18,0,5,12
aiz,12,17,23,34
akam,9,20,36,19
aks,2,8,13,14
alb,0,6,28,2
algn,0,6,36,29
alk,12,28,3,22
alks,14,7,33,11
all,12,25,23,34
alv,0,6,28,29
alxn,14,7,33,11
amat,9,21,1,9
amd,9,5,18,48
ame,12,17,38,6
amg,18,0,5,23
amgn,14,25,33,38
amp,18,0,5,12
amt,16,27,0,5
amtd,18,0,5,12
amx,3,12,11,46
amzn,12,20,36,19
an,19,18,12,44
andv,0,6,28,29
anf,19,10,30,42
anss,12,17,38,27
antm,12,25,29,34
aon,12,25,23,34
apa,6,3,22,39
apc,6,3,22,39
apd,12,17,23,6
aph,12,17,1,6
are,17,1,17,18
arrs,12,17,36,19
arw,9,21,1,9
asml,9,21,1,9
atge,12,17,23,34
athn,14,20,36,19
ati,2,8,37,40
atvi,12,25,29,5
au,1,4,4,4
auy,1,4,4,49
avb,17,1,17,18
avgo,9,21,1,9
avp,3,2,23,6
avt,9,21,1,9
awk,16,27,6,1
axp,12,17,23,6
axs,16,25,0,34
ayi,0,6,28,29
azn,16,25,0,24
azo,16,25,0,5
ba,12,17,23,6
bac,18,0,19,12
bam,3,12,23,46
bap,3,12,11,46
bax,16,25,0,24
bb,9,21,1,9
bbby,19,18,12,44
bbd,15,19,27,17
bbl,3,23,26,40
bbt,18,0,5,12
bby,19,10,30,10
bce,16,25,0,24
bcr,16,25,29,5
bcs,18,0,19,45
bdx,16,25,29,5
ben,18,6,5,6
bf-b,16,25,0,24
bg,12,17,23,34
bhp,3,23,26,40
bid,0,22,14,31
bidu,5,14,32,13
big,19,10,12,10
biib,14,7,33,38
bk,18,0,5,12
bkd,0,6,28,29
blk,18,6,5,6
bmo,3,12,23,46
bmrn,14,7,33,11
bmy,16,25,29,24
bp,3,2,35,46
brcd,9,21,1,9
brk-a,12,25,23,34
brk-b,12,25,23,34
bsbr,15,19,27,17
bsx,12,17,29,38
bti,16,25,0,24
bud,3,12,23,46
bwa,0,6,28,29
bwld,19,18,12,44
bx,0,6,28,29
bxp,17,1,17,18
c,18,0,19,12
ca,12,17,38,27
caa,11,9,9,7
cag,16,27,0,24
cah,12,25,29,5
cake,12,18,12,44
car,0,22,14,31
cat,0,23,28,2
cavm,9,5,18,41
cb,16,25,23,34
cbg,0,6,28,29
cbi,0,22,14,31
cboe,16,25,29,5
cbs,0,6,28,29
cce,12,25,23,34
cci,16,25,0,5
ccj,3,23,11,16
cck,12,25,23,34
ccl,12,17,38,6
cde,1,4,4,49
cdns,12,17,38,19
ce,0,22,14,2
celg,14,7,33,38
ceo,3,23,11,16
cern,12,17,38,27
cf,0,23,28,2
chd,16,27,0,24
chk,4,3,2,39
chkp,12,17,38,27
chl,16,12,0,46
chrw,12,17,23,34
chs,19,10,30,10
chtr,16,25,29,5
ci,12,17,29,34
cie,4,26,2,3
cien,9,5,18,36
cit,12,17,23,6
cl,16,27,0,24
clb,6,3,22,16
clf,2,8,13,14
clr,4,26,39,3
clx,16,27,0,24
cma,18,0,5,12
cmc,2,23,37,2
cmcsa,12,17,23,34
cme,12,17,23,34
cmg,19,18,12,44
cmi,0,22,28,2
cnc,12,17,38,38
cni,12,17,23,6
cnq,6,3,22,39
cnx,6,3,2,25
cof,18,0,5,12
cog,6,3,22,39
col,12,17,23,34
coo,12,17,29,27
cop,6,2,35,16
cost,16,25,0,24
cp,12,17,23,6
cpa,12,17,38,27
cpb,16,27,0,24
cpn,16,2,35,26
cpt,17,1,17,18
cree,9,5,18,48
cri,19,18,12,44
crl,12,17,29,38
crm,9,20,36,19
crox,19,18,10,42
crus,9,5,18,41
crzo,4,26,39,3
cs,18,0,19,45
csco,12,17,1,9
csiq,7,11,8,8
csx,0,6,28,6
ctas,12,17,23,34
ctl,16,27,0,24
ctrp,5,14,32,13
ctsh,12,17,38,6
ctxs,9,20,36,19
cve,6,3,22,16
cvs,16,25,0,5
cvx,3,2,35,26
cxo,4,3,2,39
cy,9,5,18,48
cyh,0,6,38,29
d,16,27,6,1
dal,14,28,3,22
dan,0,22,14,31
db,18,0,19,45
ddr,17,1,17,18
de,12,6,28,6
deck,19,18,30,42
deo,16,25,0,24
df,16,25,23,34
dfs,12,6,5,6
dg,16,25,29,5
dgx,16,25,29,5
dhi,11,9,9,7
dhr,12,17,23,6
dis,12,17,23,27
disca,12,17,38,27
disck,12,17,38,27
dish,12,17,38,27
dks,19,18,12,44
dlr,17,1,17,18
dltr,16,18,29,5
dnb,12,25,23,34
dnr,4,26,39,3
do,6,3,22,39
dov,0,6,28,2
dox,16,25,29,5
dps,16,27,0,24
dpz,12,18,38,44
dre,17,1,17,18
dri,12,25,29,5
drys,2,29,31,20
duk,16,27,6,1
dva,16,25,29,5
dvn,6,3,22,39
dwdp,0,23,28,2
eat,12,18,12,44
ebay,12,17,38,19
eca,6,3,22,39
ecl,12,25,23,34
ed,16,27,6,1
edu,5,20,32,13
egn,6,3,22,39
ego,1,4,4,49
eix,16,27,6,1
el,12,17,38,27
emn,0,6,28,2
emr,12,6,23,6
enb,16,2,35,26
endp,14,17,33,38
enr,12,25,29,5
eog,6,3,22,39
epc,12,25,29,5
epd,16,2,35,26
eqix,12,17,38,19
eqr,17,1,17,18
eqt,6,3,22,39
eric,3,12,11,0
erj,3,12,11,6
es,16,27,6,1
esrx,12,25,29,34
ess,17,1,17,18
esv,6,3,22,39
ete,16,2,35,26
etfc,18,0,19,23
etn,0,6,28,2
etr,16,27,6,1
ev,18,0,5,12
ew,12,25,29,5
exc,16,27,6,1
exp,0,6,28,33
expd,12,17,38,6
expe,12,20,36,19
exr,17,1,17,18
f,0,6,28,29
fast,12,17,38,6
fcx,2,8,26,40
fds,12,17,38,27
fdx,12,17,23,6
fe,16,27,6,1
ffiv,9,5,18,41
fis,12,25,23,34
fisv,12,17,23,34
fitb,18,0,5,12
fl,19,18,12,44
flex,9,21,1,9
flir,12,17,23,6
flr,0,23,28,2
fls,0,6,28,2
flt,12,25,29,5
fmc,0,6,28,6
fmx,3,12,11,46
fnf,16,25,29,34
fnsr,9,5,18,36
fosl,19,18,12,42
fox,12,17,38,6
foxa,12,17,38,6
frc,12,25,23,34
frt,17,1,17,18
fslr,7,21,24,47
fti,6,3,22,25
ftnt,9,20,36,19
ftr,16,25,0,34
fwona,12,17,38,27
gd,12,17,23,34
ge,12,17,23,6
ges,19,10,30,42
gg,1,4,4,4
ggb,15,19,27,17
ggp,17,1,17,18
gild,14,7,33,38
gis,16,27,0,24
glw,12,6,1,6
gm,12,17,23,6
gme,19,18,12,10
gnw,18,16,19,23
gold,1,4,4,4
googl,12,17,38,27
gpn,12,17,38,27
gpor,4,26,2,3
gps,19,18,12,10
gra,0,6,28,29
grmn,12,17,38,27
gs,18,0,5,12
gsk,16,25,0,24
gt,0,22,14,31
gww,12,17,23,6
gxp,16,27,6,1
hain,12,17,29,27
hal,6,3,22,25
has,12,25,29,5
hban,18,0,5,12
hbi,19,18,12,44
hca,12,25,29,5
hcn,17,1,17,18
hcp,17,1,17,18
hd,12,25,29,5
hdb,3,12,11,0
hes,6,3,22,39
hig,18,0,19,23
hl,1,4,4,49
hlf,12,17,38,27
hlx,4,26,2,25
hog,0,6,28,29
holx,12,17,38,27
hon,12,17,23,6
hp,4,3,2,25
hpq,3,21,1,9
hrb,12,17,29,27
hrl,16,25,0,24
hrs,12,17,38,6
hsbc,3,12,11,0
hsic,12,25,29,27
hst,17,1,17,29
hsy,16,27,0,24
htz,0,22,14,31
hum,12,25,29,5
hun,0,22,14,31
iac,12,17,38,27
iag,1,4,4,49
ibm,16,25,0,34
ibn,3,12,11,0
ice,12,17,23,34
idti,9,5,18,48
idxx,12,17,29,27
ilmn,14,7,33,38
incy,14,7,25,11
infy,3,12,11,0
ing,18,0,19,45
ingr,12,17,23,27
intc,12,21,1,9
intu,12,17,38,27
ions,14,7,25,11
ip,0,6,28,29
ipg,0,6,28,29
ir,0,6,28,29
irm,16,25,0,5
isrg,12,17,38,27
itt,0,6,28,6
itub,15,19,27,17
itw,12,17,23,6
ivz,18,0,5,23
jaso,7,11,8,8
jazz,14,7,33,11
jbht,12,17,23,27
jbl,9,21,18,48
jblu,0,28,3,22
jci,12,17,23,34
jcp,19,10,30,43
jec,0,6,28,2
jhg,18,0,19,23
jll,0,6,28,29
jnj,16,25,0,24
jnpr,9,21,1,9
jpm,18,0,5,12
jwn,19,18,12,10
k,16,27,0,24
kbh,11,9,9,7
kbr,0,22,14,2
key,18,0,5,12
kgc,1,4,4,49
kim,17,1,17,18
