Ticker,Cluster_K20,Cluster_K30,Cluster_K40,Cluster_K50
kkr,12,17,38,6
klac,9,21,1,9
kmb,16,27,0,24
kmi,16,2,35,26
kmx,0,18,12,44
knx,0,6,28,33
ko,16,27,0,24
kr,16,25,0,24
kss,19,10,12,10
ksu,0,6,28,29
l,12,17,23,34
lamr,0,6,28,29
laz,18,0,5,12
lb,19,18,12,10
lbtya,12,17,38,27
lbtyk,12,17,38,27
ldos,12,25,23,34
lea,12,6,38,6
len,11,9,9,7
lfc,3,12,11,0
lh,16,25,29,5
lii,0,6,28,33
lkq,12,17,38,6
ll,19,10,12,33
lll,12,25,23,34
lly,16,25,0,24
lm,18,0,5,23
lmt,16,25,0,24
lnc,18,0,19,23
lng,4,26,10,25
lnt,16,27,6,1
low,12,18,12,44
lpt,17,1,17,18
lrcx,9,21,1,9
luk,18,0,5,23
lulu,19,10,30,42
luv,12,28,3,22
lvlt,0,6,36,19
lvs,0,22,10,32
lyb,0,6,28,2
m,19,18,12,10
ma,12,17,38,27
maa,17,1,17,18
mac,17,1,17,18
man,0,6,28,29
mar,0,6,28,29
mas,11,9,9,33
mat,12,25,23,5
mbi,13,16,34,21
mbt,3,12,11,46
mcd,16,27,0,24
mchp,9,21,1,9
mck,16,25,29,5
mco,12,17,38,6
mdc,11,9,9,7
mdlz,16,25,0,24
mdr,4,26,2,25
mdt,12,25,29,34
meli,0,20,36,19
met,18,0,5,12
mfc,18,0,5,12
mga,0,6,28,6
mgm,0,22,10,32
mhk,0,6,28,33
mkc,16,25,0,24
mlco,5,14,10,32
mlm,0,6,28,6
mmc,12,25,23,34
mmm,12,17,23,34
mo,16,27,0,24
mon,12,17,23,27
mos,3,23,37,2
mrk,16,25,0,24
mro,6,3,22,39
mrvl,9,21,1,9
ms,18,0,19,12
msci,12,17,38,6
msft,12,25,23,34
msi,12,17,23,27
mt,2,8,26,40
mtb,18,0,5,12
mtd,12,6,38,6
mtg,13,24,20,21
mtl,10,15,16,30
mtw,2,22,14,31
mu,9,5,18,48
mur,6,3,22,16
mxim,9,21,1,9
mygn,14,25,33,38
myl,12,17,29,38
nbl,6,3,22,39
nbr,4,26,2,3
ncr,0,6,28,19
ndaq,12,17,23,6
ne,6,3,22,39
nee,16,27,6,1
nem,1,4,4,4
nflx,5,20,32,37
nfx,4,3,2,39
nke,12,18,12,44
nlsn,16,25,0,5
nly,16,27,6,1
nnn,17,1,17,18
noc,12,25,23,34
nok,18,0,11,45
nov,6,3,22,16
nrg,16,2,35,26
nsc,12,17,23,6
ntap,9,21,1,9
ntes,5,20,32,13
ntrs,18,0,5,12
nuan,12,20,36,19
nue,0,23,37,2
nus,12,18,38,44
nvda,9,21,18,48
nvo,16,25,29,24
nvr,16,25,0,33
nvs,16,25,0,24
nwl,12,17,38,6
nxpi,9,5,18,48
nycb,12,25,23,34
o,17,1,17,18
oas,4,26,39,3
oc,0,6,28,33
odp,0,22,14,23
ohi,17,1,17,18
oi,0,23,28,2
oii,6,3,22,25
ois,6,3,2,25
oke,3,2,35,26
omc,12,17,38,27
on,9,5,18,48
orcl,12,17,38,27
orly,16,25,29,5
osk,0,22,14,31
oxy,6,3,22,16
paa,16,2,35,26
paas,1,4,4,49
pay,9,22,36,19
payx,12,25,29,34
pbct,12,25,23,34
pbr,15,19,15,35
pbr-a,15,19,15,35
pcar,0,6,28,29
pcg,16,27,6,1
pcln,12,20,36,19
peg,16,27,6,1
pep,16,27,0,24
pfe,16,25,0,24
pfg,18,0,5,12
pg,16,27,0,24
pgr,12,25,23,34
ph,0,6,28,2
phg,3,12,11,0
phm,11,9,9,7
pii,0,18,12,44
pkg,12,17,38,6
pkx,3,23,11,2
plce,19,10,12,10
pld,17,1,17,18
pm,16,27,0,24
pnc,18,0,5,12
pnr,0,6,28,6
pot,3,23,35,2
ppg,12,17,23,6
ppl,16,27,6,1
prgo,12,25,29,38
pru,18,0,5,12
psa,17,1,17,18
pten,4,26,2,3
ptr,3,12,11,46
pvh,19,18,12,42
pwr,0,6,28,6
px,12,17,23,34
pxd,4,26,2,39
qcom,12,17,1,9
qep,6,3,22,39
qvca,12,17,38,27
rad,0,6,28,29
rcl,0,22,28,23
rdc,6,3,22,39
rdn,13,24,20,21
rds-a,3,2,35,46
rds-b,3,2,35,46
re,16,25,0,34
reg,17,1,17,18
regn,14,7,25,11
rf,18,0,19,12
rgld,1,4,4,4
rht,9,20,36,19
rig,6,3,22,39
rio,2,23,26,40
rjf,18,0,5,12
rl,19,18,12,44
rmbs,9,21,18,48
rmd,12,17,29,27
rnr,16,25,0,24
rok,0,6,28,29
rop,12,17,23,6
rost,19,18,12,10
rrc,6,3,2,39
rs,0,23,37,2
rsg,16,25,0,34
rtn,16,25,0,34
ry,3,12,23,46
ryn,17,1,17,18
s,12,17,38,27
san,18,0,19,45
sanm,9,5,18,48
sap,3,12,11,0
sbac,16,25,0,5
sbux,12,18,38,44
scco,2,23,26,40
scg,16,27,6,1
schw,18,0,5,12
sdrl,6,3,22,39
sfun,5,14,21,28
shld,19,10,30,43
shpg,12,25,29,38
shw,12,25,29,5
sid,15,19,27,17
sig,12,18,38,44
sina,5,14,21,13
siri,12,17,38,27
sivb,18,0,5,12
six,16,25,29,5
sjm,16,25,0,24
skx,19,18,30,42
slb,6,3,22,16
slg,17,1,17,18
slm,18,0,5,6
sm,4,26,39,3
sne,3,12,11,0
snh,17,1,17,18
sni,12,17,38,27
snps,12,17,38,27
sny,3,12,11,46
so,16,27,6,1
soda,5,20,32,37
sohu,5,14,21,13
spg,17,1,17,18
spgi,12,17,23,27
spn,4,26,2,25
spr,0,6,28,29
spxc,0,6,28,2
srcl,16,25,0,5
sre,16,27,6,1
srpt,8,13,7,15
ssys,9,22,14,48
st,12,17,38,6
sti,18,0,19,12
stld,2,23,37,2
sto,6,3,22,16
stt,18,0,5,12
stwd,16,27,0,1
stx,9,21,1,9
stz,12,25,29,34
su,6,3,22,16
swk,0,6,28,6
swks,9,5,18,41
swn,6,3,22,39
syk,12,25,29,34
symc,12,17,38,27
syna,9,21,1,9
syy,16,25,0,24
t,16,27,0,24
tap,16,25,0,24
tco,17,1,17,18
td,3,12,23,46
tdc,12,20,36,19
tdg,12,17,29,27
tdw,6,3,22,39
teck,2,8,26,40
tef,3,12,11,0
tel,12,17,1,9
ter,9,5,18,48
teva,16,25,29,5
tex,2,22,14,31
tgna,0,6,28,29
tgt,16,25,0,5
thc,0,6,28,29
tif,19,18,12,44
tivo,12,20,36,19
tjx,19,18,12,10
tkr,0,22,14,31
tm,12,25,23,34
tmo,12,17,38,27
tmus,12,17,38,19
tol,11,9,9,7
tot,3,12,11,46
tpr,19,18,12,44
tpx,0,18,12,33
trgp,6,2,35,26
trmb,0,6,36,19
trn,0,22,14,31
trow,18,0,5,12
trv,16,25,0,34
ts,6,23,22,16
tsco,19,18,12,44
tsla,5,20,32,37
tsm,12,12,1,9
tsn,16,25,0,34
tss,12,17,23,27
ttm,3,12,11,0
ttwo,12,20,36,19
tup,12,17,38,6
tv,3,12,11,0
two,16,27,6,1
twx,12,17,23,27
txn,9,21,1,9
txt,0,6,28,29
uaa,19,18,12,42
ual,14,28,3,22
udr,17,1,17,18
uhs,12,17,29,38
ul,16,25,0,46
ulta,19,18,12,44
un,16,12,0,46
unh,12,25,29,5
unm,18,0,5,12
unp,12,17,23,6
ups,12,25,23,34
urbn,19,10,30,10
uri,0,22,14,31
usb,18,0,5,12
usg,11,9,9,7
uthr,14,7,33,38
utx,12,17,23,6
v,12,17,38,27
vale,15,19,27,17
var,12,17,29,27
vc,12,17,38,27
vfc,19,18,12,44
viav,9,5,18,36
vlo,0,6,28,29
vmc,0,6,28,33
vmw,9,20,36,19
vno,17,1,17,18
vod,16,25,0,46
vrsk,16,25,29,5
vrsn,12,17,38,27
vrtx,14,7,33,11
vrx,14,7,33,38
vtr,17,1,17,18
vz,16,27,0,24
wab,0,6,28,29
wat,12,17,38,27
wba,16,25,29,5
wbc,0,22,28,29
wcc,0,6,28,2
wcg,12,17,38,38
wdc,9,21,1,9
wdr,18,0,5,23
wec,16,27,6,1
wfc,18,0,5,12
wft,4,3,2,25
whr,0,6,28,33
win,16,27,0,24
wll,4,26,39,3
wltw,16,25,0,5
wm,16,25,0,34
wmb,6,2,35,26
wmt,16,27,0,24
wpm,1,4,4,49
wpz,16,2,35,26
wrb,16,25,0,34
wsm,19,18,12,10
wtw,12,17,38,27
wu,12,17,23,34
wy,17,6,28,6
wyn,0,6,28,29
wynn,0,22,10,32
x,2,8,13,14
xec,4,3,2,39
xel,16,27,6,1
xl,12,17,23,6
xlnx,9,21,1,9
xom,3,2,35,46
xrx,12,6,28,6
yum,12,25,29,5
zbh,12,25,29,34
zion,18,0,19,12
