Ticker,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
a,-5.510695741767864,-4.870670672211722,-2.144240147408904,-1.8119215626122398,0.5029866954632094,2.926023944111694,1.054051605907645,-0.8360253832654979,1.0294115207764198,-0.9247823611080502,1.122735951646012,-0.06560303218568882,1.5757766112364668,-2.245534094678717,-3.0871201642859156
aa,-8.839588746693586,5.82434209253181,3.5560282920947768,-0.6890914085536122,2.0046353761864153,0.6748656603494255,-0.837091737143931,3.0846908523546666,0.6434443445149767,-0.07714653798593778,-0.9200950714301448,-4.918785824356075,0.5060218960191362,-2.2356021378880935,-0.6630452849662043
aaba,3.6424776815463398,-2.9463359083016174,-4.220150793188703,-1.9373387427368203,1.600755781990485,-0.2898402790875426,0.6848796845565304,-0.20704847939665802,-0.5340653525693484,-3.139577064924871,-0.8796683425538856,-1.7141188443663604,-1.2225036565359497,2.3564545618377664,1.2778665611558209
aap,9.17859671737723,-2.8205162065316154,-3.949896716868833,1.4370011861207483,-1.3707583715578884,-2.1044777812249134,0.9193675726636683,1.2539990201382836,-2.923856644478566,3.339603905030781,1.671909259297109,-2.759715722313546,0.0003929183204417902,1.6654057398968503,-0.38765506821795165
aapl,4.360835909705002,2.4335168473881446,-6.442126300612933,0.70527676640219,-0.20009458169970662,1.9345952156486328,2.663209764520077,-0.2766942503554475,-0.9200867987877243,-0.13455362571386173,-1.3347355471364215,-0.08241051960616311,2.467957024635273,2.2543258610326746,3.203195633236318
abb,-3.164336332761057,2.432975478013243,5.659531659619534,-2.664111098037452,3.6679163180719483,3.490024141559083,-2.4131352579462613,0.8970772949173782,1.8063644376229495,-2.418704405467211,1.131740393054451,0.9842677124226823,4.088315674372899,0.34860415890092883,0.1838344368816262
abc,9.90565876650759,-0.09493787376868458,-2.1134483371996864,-1.905480031390014,0.311700188724276,-1.4254702281918112,1.2653151956200894,-1.0028672164450092,-0.4593271152079582,-1.1360174295395058,0.5789213306392453,-0.7532671507161414,-0.2507822036780083,-1.2721112689896152,-0.9113764047995857
abev,6.217934592769063,3.891868828728837,0.7825061061029289,-0.7367401208885663,0.704390272472588,0.7884615936958591,-4.022531843306043,1.8097785969317735,1.865364895104565,-4.674827710008409,-1.0417133164889116,-0.4124892707104725,2.749665386925763,0.1924736352884931,0.6982273271096288
abt,12.970840808060599,-0.10147419637752121,1.6083880650340163,-1.3814386176330395,2.0111394049073876,-2.0747214385334245,0.43082553344540875,-0.019313108353526315,-0.2800428906979538,-1.684829233887826,0.9717555263713963,-0.9606814694879655,0.7135905902287009,-0.20662757146230748,-0.7585909338479765
abx,5.294892036498452,33.57162710098554,-4.977789984151456,12.104781496248552,1.4672645799597894,2.484773679171373,3.4236746936735813,-2.171484002679027,-0.61712381054891,1.5607185494606275,1.6360072331785038,1.7540337232069498,-0.571591215941123,-0.8297050643481239,-0.05933980127471311
acm,-3.3864075059446614,-1.3923722287746243,0.3754850579984931,0.9649471484301511,-0.16113361056648418,-0.13939923768089113,1.3978513720062475,-2.396003974966604,-0.21227448334078927,-0.8008422899676999,1.3525305884393692,-1.078114785983591,-1.7570723928998444,-2.033997123218042,-1.3263714401169469
acn,4.674448217620654,-1.2239681530229005,-0.8391604622902412,-2.8969898714703013,0.1702741347905945,1.5224621311424862,-0.09185379673301362,-0.2464317370721043,-0.99096429209308,-2.5096941194518685,0.9019473650694511,-0.12011264372415219,1.7406855300850006,1.414327572129513,-0.09853409661789271
adbe,1.0904066510639427,-3.5030488807574307,-2.968248005857969,-2.3603215215372355,2.827014712815597,2.211518035233621,-0.8303405226793333,-0.5358799994381596,-1.070432764399038,-2.010703621443539,-0.1805096878098501,1.0542981796558046,-0.848517672632005,1.2009960762738103,0.056929505558674785
adi,-0.19849824371895533,-2.6128049729181013,-4.422364005190201,-2.346884742625982,3.815571385328487,4.198194086716172,1.3127732746595588,-4.159205946420862,0.0366979303082852,1.7482302313146227,-3.3567489876014363,-2.2210699262311224,3.910211438776012,0.25828525431031546,1.0783543290005349
adm,5.4490570274721275,-0.08005691976461647,2.7206265628954394,-1.9066024804407078,2.015967571243036,-0.5939547990652673,-0.4536227379245624,-0.8074043696056499,-0.6008211042037659,-0.32516090650627777,1.5013960409846163,0.1211944682965137,-0.10052771365611086,0.3018767265494614,-0.16379000236604913
adp,7.834604196796841,-1.7104070630283743,0.6920225140891064,-1.5673859514935706,0.6730061798020162,1.0009669710701972,1.096912708298428,-1.1900659240237672,-0.27141107233264067,-0.27302930894601385,0.39774199325975995,-0.46063484416728606,0.9692428502195426,-0.07313924636196413,-0.11167459673397
ads,3.2544387059529014,-2.691464433758189,-1.6741959601758485,1.231188154420964,-1.805433306600575,-0.4931255947810414,-1.2891120565932361,-0.20862463909400822,0.5632507521855525,0.4977612149018808,-0.25769463364449163,0.8541497080530609,0.09503703292122719,-0.8000040089223597,1.578798727346965
adsk,-6.630018154639953,-4.415600654822897,-5.509222709266342,-0.28127191344475644,2.4430555292303455,5.232502029922548,0.5920282082049646,0.4540218687920727,1.2968063832759331,-1.9778967556989167,-3.054268470882859,1.8200799804087553,1.24710208323966,-0.437906564302243,0.290100263608098
aee,11.839027844179844,1.1677414881120765,4.015826134797786,-1.2111779780036738,0.8988906464903986,-2.2297331309102977,-0.4953689354812142,-0.2140692390309029,-1.1351840425779203,-0.6340249906962587,-2.684517278898515,-0.21933291461565824,1.184689518886856,-0.02335258387673231,0.13293534798012033
aem,3.351814038775411,35.70346401612436,-5.893953113808556,14.317536217214098,2.5990078695380023,3.309228376745073,6.111721101130568,-2.5755042826268975,-0.9445858239450434,2.7732867362384286,2.0961492803885187,2.6906045041714473,-0.3619226895185507,-0.9880467552630388,2.3316791014739353
aeo,4.922049470178651,-4.048192309084583,-6.037378062661848,2.968760768564946,-3.4432294409961837,1.1592850163875388,-2.5365187820681427,3.5042695345730888,-1.4734667163777309,7.739815269116494,5.490918435057057,-2.849969992995462,2.5638837497983125,5.316998916456172,-1.320891549711323
aep,12.834799661620687,1.9752392938629022,3.439978059855251,-0.7529062657388524,0.8503751134425555,-2.3053794151092455,-0.7569239043156053,-0.24910356463609015,-1.254248167925602,0.17076985696121774,-2.89487773250412,-1.6498032433870915,1.5429162167861998,0.24757190305652035,1.112475814865246
aer,-1.7768965420815979,-2.3485690216105928,1.7753736617183504,-0.6071935427929804,0.46179375847259124,0.007249605070676629,-1.3785514203229612,3.4338113841989966,1.0645875827658964,1.8311715540248206,1.3977911648460868,0.2833752099101742,0.9165995018450235,-1.5353258815638569,2.0283162917450666
aes,0.7176666551514641,0.26922131566466995,4.58403798210844,-0.48853885593165136,-1.448865642373897,-1.330569809290305,-0.9936030017430695,-0.33863106421681155,-0.7207371238137323,1.0041997931146582,-2.295823337948193,0.14380790533196308,0.38192103752893036,0.12404945878112676,-0.26948296552703427
aet,5.841817705246996,-1.5732769661741839,-0.5314522747431766,-2.410033797630782,2.1146974488057158,-0.6775842853278622,2.3062524029742737,0.12317056209329208,0.2067853889527996,-0.23614557444629142,3.4600053096974746,0.05264196395816235,-2.296429182180488,-3.4063070690027932,-3.0376784911454524
afl,-3.0251836351134838,-2.8733550075090872,7.501630638394581,-0.6287208039245965,2.0289124930422204,3.3420073290865195,1.3676897709092404,1.781326870809727,0.6979919180624092,1.0398645252444034,1.184436693168368,2.426077910730916,0.07946936411105368,1.3295642505729781,-0.10528118413169973
agco,-8.6505173389803,1.7548258689183747,-0.03449958588795282,-2.2275294222901896,-2.3379256378220665,0.85639489482172,-2.028561408118057,1.3990739728873078,0.11580831994007076,-2.856235616796275,1.4103819337427863,-1.4985948961618345,1.7939930048559387,-3.3313024578373196,-0.5323090768553653
agn,10.0462297495466,-0.9619141297212525,-3.2760402497371865,-0.5125907338505288,-0.7361549437370734,-3.329373142103738,0.24520661148598963,-0.25089050711161925,-1.5876921786638085,-2.3073277194166155,1.818694147280418,0.39808139434200807,-0.5313521076281804,-0.8373736515771861,-0.7996019499917787
agnc,12.88044981609412,3.703995427937967,0.042433159242550936,4.817622140768098,-1.5442318151083916,-2.4241219473927513,-1.4119349812181667,0.7093595893381268,0.9847196831402573,0.14273644270165553,-6.475962173938718,-0.6118301872854589,-0.8505741125848956,-0.6540745830266188,3.06457499352522
ago,-10.842484594093834,-4.3613224215418525,8.156132776481636,5.643147188589202,4.754587323263483,-3.0330089146463197,3.3376437905007457,2.9054207036660173,-9.374915001236518,-2.217175084042424,-2.428995218463899,-0.7503358144118545,0.24572790902158567,3.741009490474833,-0.4996518832727783
agu,-1.614074028555236,6.782258890756172,-0.7964994467623833,-1.094590470863796,-0.9319953905330416,-0.7310990473117914,-2.98981655024658,4.570515471329888,-1.831280420688702,-1.3515431831798692,1.4184052119013038,-3.1804808738414527,-1.5133421574342871,0.06786719213759235,0.8121411227218687
aig,-5.818957458875195,-4.920720462559749,6.588021402038462,2.1729027315011202,2.5613908793909768,0.9902830517628843,2.6908268354139095,-2.09880612938956,1.4026412713836225,3.013417106976397,0.8447293115465814,2.3884706320445472,-3.1392099109579643,-0.9996709428952233,5.038080678634634
aiz,4.002973439209779,-1.8143597548948556,6.212008170379846,0.20803398226056177,2.5561348966541515,0.28544554641468173,1.9750423174701337,-0.42314170905561066,-0.7188992709618178,2.5874064451654704,0.2800200737163013,0.1191288267769645,-0.87297974975225,-0.638518469230769,0.9304327502455139
akam,-2.9631612864182224,-3.5033578997847816,-7.754314417003544,0.3849169611338359,2.201174215569237,1.0048791827640544,-0.908923957238921,0.775615286972228,0.8311662338953296,-4.295209843907794,-3.634503696307236,-1.6332277551001655,0.23714340994752015,3.38606541259669,3.3909995093704484
