Ticker,Cluster
a,2
aa,12
aaba,1
aap,10
aapl,15
abb,8
abc,10
abev,1
abt,10
abx,4
acm,3
acn,1
adbe,15
adi,15
adm,1
adp,1
ads,1
adsk,15
aee,10
aem,4
aeo,14
aep,10
aer,3
aes,3
aet,1
afl,11
agco,2
agn,10
agnc,10
ago,11
agu,8
aig,11
aiz,1
akam,15
aks,12
alb,2
algn,13
alk,3
alks,13
all,1
alv,2
alxn,13
amat,15
amd,16
ame,3
amg,2
amgn,10
amp,11
amt,10
amtd,3
amx,1
amzn,14
an,14
andv,5
anf,14
anss,15
antm,1
aon,1
apa,5
apc,5
apd,1
aph,15
are,19
arrs,15
arw,15
asml,15
atge,1
athn,15
ati,12
atvi,1
au,4
auy,4
avb,19
avgo,15
avp,1
avt,15
awk,10
axp,3
axs,10
ayi,2
azn,10
azo,10
ba,3
bac,11
bam,1
bap,1
bax,10
bb,16
bbby,14
bbd,8
bbl,8
bbt,11
bby,14
bce,10
bcr,10
bcs,11
bdx,10
ben,3
bf-b,10
bg,1
bhp,8
bid,2
bidu,17
big,14
biib,13
bk,11
bkd,2
blk,3
bmo,1
bmrn,13
bmy,10
bp,8
brcd,15
brk-a,1
brk-b,1
bsbr,8
bsx,1
bti,10
bud,1
bwa,2
bwld,14
bx,2
bxp,19
c,11
ca,1
caa,7
cag,10
cah,1
cake,14
car,2
cat,8
cavm,16
cb,1
cbg,2
cbi,2
cboe,10
cbs,2
cce,1
cci,10
ccj,8
cck,1
ccl,3
cde,4
cdns,15
ce,2
celg,13
ceo,8
cern,1
cf,8
chd,10
chk,5
chkp,15
chl,10
chrw,1
chs,14
chtr,10
ci,1
cie,5
cien,16
cit,3
cl,10
clb,8
clf,12
clr,5
clx,10
cma,11
cmc,12
cmcsa,1
cme,1
cmg,14
cmi,2
cnc,13
cni,1
cnq,5
cnx,5
cof,11
cog,5
col,1
coo,1
cop,1
cost,10
cp,3
cpa,1
cpb,10
cpn,1
cpt,19
cree,16
cri,14
crl,1
crm,15
crox,14
crus,16
crzo,5
cs,11
csco,15
csiq,6
csx,3
ctas,1
ctl,10
ctrp,17
ctsh,15
ctxs,15
cve,8
cvs,1
cvx,1
cxo,5
cy,16
cyh,3
d,10
dal,3
dan,2
db,11
ddr,19
de,3
deck,14
deo,10
df,1
dfs,3
dg,10
dgx,10
dhi,7
dhr,1
dis,1
disca,1
disck,1
dish,1
dks,14
dlr,19
dltr,10
dnb,1
dnr,5
do,8
dov,3
dox,10
dps,10
dpz,14
dre,19
dri,1
drys,12
duk,10
dva,10
dvn,5
dwdp,2
eat,14
ebay,15
eca,5
ecl,1
ed,10
edu,17
egn,5
ego,4
eix,10
el,1
emn,2
emr,3
enb,10
endp,1
enr,1
eog,5
epc,1
epd,10
eqix,15
eqr,19
eqt,5
eric,8
erj,3
es,10
esrx,1
ess,19
esv,5
ete,10
etfc,11
etn,3
etr,10
ev,11
ew,1
exc,10
exp,2
expd,3
expe,15
exr,19
f,3
fast,3
fcx,12
fds,1
fdx,3
fe,10
ffiv,16
fis,1
fisv,1
fitb,11
fl,14
flex,15
flir,1
flr,2
fls,2
fmc,3
fmx,1
fnf,1
fnsr,16
fosl,14
fox,3
foxa,3
frt,19
fslr,6
fti,5
ftnt,15
ftr,10
fwona,3
gd,1
ge,1
ges,14
gg,4
ggb,12
ggp,19
gild,13
gis,10
glw,3
gme,14
gnw,11
gold,4
googl,1
gpn,1
gpor,5
gps,14
gra,2
grmn,1
gs,11
gsk,10
gt,2
gww,1
gxp,10
hain,1
hal,5
has,1
hban,11
hbi,14
hcn,19
hcp,19
hd,1
hdb,8
hes,5
hig,11
hl,4
hlf,14
hlx,5
hog,2
holx,1
hon,3
hp,5
hpq,15
hrb,1
hrl,10
hrs,3
hsbc,8
hsic,1
hst,19
hsy,10
htz,2
hum,1
hun,2
iac,1
iag,4
ibm,1
ibn,8
ice,1
idti,16
idxx,1
ilmn,13
incy,13
infy,8
ing,11
ingr,1
intc,15
