Ticker,Cluster_K20,Cluster_K30,Cluster_K40,Cluster_K50
cci,16,2,26,4
ccj,2,18,5,21
cck,16,2,2,18
ccl,8,26,19,19
cde,3,3,3,3
cdns,8,1,33,2
ce,10,11,5,7
celg,9,20,28,27
ceo,2,18,25,21
cern,8,13,33,2
cf,10,18,5,24
chd,1,16,26,4
chk,11,7,4,47
chkp,8,13,33,2
chl,16,2,26,4
chrw,16,2,2,18
chs,6,0,34,36
chtr,16,2,13,18
ci,16,13,13,48
cie,11,7,15,1
cien,4,15,23,17
cit,8,28,2,31
cl,1,16,26,4
clb,2,4,32,21
clf,12,14,18,29
clr,11,7,15,1
clx,1,16,26,4
cma,15,28,37,0
cmc,10,29,5,30
cmcsa,16,26,2,18
cme,16,26,2,18
cmg,6,27,39,42
cmi,10,11,5,7
cnc,8,13,17,48
cni,8,26,2,19
cnq,11,25,32,21
cnx,11,25,4,1
cof,15,28,37,31
cog,2,25,38,25
col,16,26,2,18
coo,16,13,13,48
cop,2,4,32,21
cost,1,2,26,4
cp,8,26,2,19
cpa,8,26,33,19
cpb,1,16,26,4
cpn,16,4,36,20
cpt,18,12,10,10
cree,4,15,23,17
cri,6,27,39,12
crl,8,13,17,48
crm,4,1,29,2
crox,6,27,34,41
crus,4,15,23,17
crzo,11,7,15,28
cs,15,8,37,43
csco,8,26,2,19
csiq,14,9,16,6
csx,8,26,2,19
ctas,16,26,2,18
ctl,1,2,26,4
ctrp,5,23,12,22
ctsh,8,26,33,2
ctxs,8,1,7,11
cve,2,25,32,21
cvs,16,2,26,18
cvx,2,4,36,26
cxo,11,25,38,25
cy,4,15,23,17
cyh,9,20,17,37
d,1,16,0,32
dal,8,28,14,46
dan,10,5,1,7
db,15,8,37,43
ddd,10,1,5,37
ddr,18,12,10,10
de,8,26,2,19
deck,6,0,34,41
deo,16,2,26,4
df,16,2,26,18
dfs,8,28,19,31
dg,16,2,6,42
dgx,16,2,13,48
dhi,13,17,20,14
dhr,8,26,2,19
dis,16,26,2,18
disca,8,26,33,19
disck,8,26,33,19
dish,8,26,33,19
dks,6,27,39,12
dlr,18,12,10,10
dltr,16,27,6,42
dnb,16,26,2,18
dnr,11,7,15,28
do,2,25,32,47
dov,10,11,5,24
dox,16,2,26,18
dps,1,16,26,4
dpz,8,13,39,42
dre,18,12,10,10
dri,16,2,39,42
drys,17,10,8,9
duk,1,16,0,32
dva,16,2,13,48
dvn,11,25,32,25
dwdp,10,11,5,24
eat,8,27,39,42
ebay,8,13,33,2
eca,11,25,4,47
ecl,16,2,2,18
ed,1,16,0,32
edu,5,23,29,22
egn,11,25,38,25
ego,3,3,3,3
eix,1,16,0,32
el,16,26,2,18
emn,10,11,5,24
emr,8,26,2,19
enb,2,4,36,20
endp,9,20,28,27
enr,16,2,26,18
eog,2,25,32,25
epc,16,2,2,18
epd,2,4,36,20
eqix,8,13,33,2
eqr,18,12,10,10
eqt,2,4,32,25
eric,8,26,25,26
erj,8,18,25,26
es,1,16,0,32
esrx,16,2,13,18
ess,18,12,10,10
esv,11,25,4,47
ete,2,4,36,20
etfc,15,8,37,0
etn,10,11,5,24
etr,1,16,0,32
ev,15,28,19,31
ew,16,13,13,48
exc,1,16,0,32
exp,10,11,24,34
expd,8,26,2,19
expe,8,13,33,2
exr,18,12,10,10
f,8,11,19,24
fast,8,26,2,19
fcx,12,29,35,13
fds,8,26,33,19
fdx,8,26,2,19
fe,1,16,0,32
ffiv,4,15,23,11
fis,16,26,2,18
fisv,16,26,2,18
fitb,15,28,37,0
fl,6,27,39,12
flex,4,1,7,11
flir,8,26,2,19
flr,10,11,5,7
fls,10,11,5,7
flt,16,13,33,2
fmc,8,11,5,24
fmx,16,18,25,26
fnf,16,2,13,18
fnsr,4,15,23,17
fosl,6,0,34,41
fox,8,26,2,19
foxa,8,26,19,19
frc,16,2,2,18
frt,18,12,10,10
fslr,14,24,31,40
fti,2,25,32,21
ftnt,4,1,7,11
ftr,16,2,26,4
fwona,8,26,33,2
gd,16,26,2,18
ge,8,26,2,19
ges,6,0,34,36
gg,3,3,3,45
ggb,0,21,9,33
ggp,18,12,10,10
gild,9,13,17,27
gis,1,16,26,4
glw,8,26,19,19
gm,8,26,2,19
gme,6,27,6,12
gnc,16,27,6,42
gnw,15,8,22,44
gold,3,3,3,45
googl,8,13,33,2
gpn,8,13,33,2
gpor,11,25,38,1
gps,6,0,6,12
gra,10,11,19,24
grmn,8,26,33,19
gs,15,28,37,31
gsk,16,2,13,4
gt,10,11,19,7
gww,8,26,2,19
gxp,1,16,0,32
hain,16,13,33,18
hal,2,25,32,25
has,16,2,2,42
hban,15,28,37,0
hbi,6,27,39,12
hca,16,13,17,48
hcn,18,12,10,10
hcp,18,12,10,10
hd,16,2,26,42
hdb,8,18,25,26
hes,2,25,32,25
hig,15,28,37,0
hii,16,2,13,18
hl,3,3,3,3
hlf,8,13,33,2
hlx,11,25,4,1
hog,10,11,19,24
holx,8,13,17,48
hon,8,26,2,19
hp,11,25,38,25
hpq,8,26,7,19
hrb,16,13,33,18
hrl,1,2,26,4
hrs,8,26,33,19
hsbc,8,18,25,26
hsic,16,13,13,48
hst,18,11,19,10
hsy,1,16,26,4
htz,10,5,1,7
hum,16,13,13,48
hun,10,5,1,7
iac,8,13,33,2
iag,3,3,3,3
ibm,16,2,2,18
ibn,15,18,25,26
ice,16,26,2,18
idti,4,15,23,17
idxx,16,13,13,48
ilmn,9,20,28,27
incy,9,20,28,16
infy,8,26,25,26
ing,15,8,37,43
ingr,16,26,2,18
intc,8,1,7,11
intu,16,26,33,18
ions,9,20,28,16
ip,10,11,19,24
ipg,8,11,19,24
ir,10,11,19,24
irm,16,2,26,4
isrg,16,13,13,48
itt,10,11,5,24
itub,0,21,21,8
itw,8,26,2,19
ivz,15,28,37,31
jaso,14,9,16,6
jazz,9,20,28,27
jbht,8,26,2,19
jbl,4,15,7,11
jblu,8,28,14,46
jci,16,26,2,19
jcp,6,0,34,36
jec,10,11,5,24
jhg,15,8,37,0
jll,10,11,19,24
jnj,16,2,26,4
jnpr,4,1,7,11
jpm,15,28,37,31
jwn,6,0,34,12
k,1,16,26,4
kbh,13,17,20,14
kbr,10,11,5,7
key,15,28,37,0
kgc,3,3,3,3
kim,18,12,10,10
kkr,8,26,33,24
klac,4,1,7,11
kmb,1,16,26,4
kmi,2,4,36,20
kmx,6,27,39,24
knx,10,11,5,24
ko,1,16,26,4
kr,16,2,26,4
kss,6,0,6,12
ksu,10,11,19,24
l,16,26,2,19
lamr,8,11,19,24
laz,15,28,37,31
lb,6,27,39,12
lbtya,8,13,33,19
lbtyk,8,13,33,19
ldos,16,2,2,18
lea,8,11,33,24
len,13,17,20,14
lfc,8,18,25,26
lh,16,2,13,48
lii,8,11,24,24
lkq,8,26,33,19
ll,6,27,24,34
lll,16,2,2,18
lly,16,2,13,48
lm,15,28,37,31
lmt,16,2,26,4
lnc,15,8,37,0
lng,11,5,38,25
lnt,1,16,0,32
low,16,27,39,42
lpt,18,12,10,10
lrcx,4,1,7,11
luk,15,28,19,31
lulu,6,0,34,41
luv,8,13,14,46
lvlt,8,11,33,2
lvs,5,23,29,15
lyb,10,11,5,24
m,6,0,34,12
ma,8,13,33,2
maa,18,12,10,10
mac,18,12,10,10
man,10,11,19,24
mar,8,11,19,24
mas,13,17,24,34
mat,16,2,2,42
mbi,19,22,22,44
mbt,2,18,25,26
mcd,1,2,26,4
mchp,4,1,7,11
mck,16,2,13,48
mco,8,26,19,19
mdc,13,17,20,14
mdlz,1,2,26,4
mdr,11,25,4,1
mdt,16,2,13,48
meli,10,1,29,2
met,15,8,37,0
mfc,15,28,37,31
mga,10,11,19,24
mgm,10,5,1,15
mhk,10,11,24,34
mkc,1,16,26,4
mlco,5,23,12,15
mlm,8,11,24,24
mmc,16,2,2,18
mmm,16,26,2,18
mo,1,16,26,4
mon,16,26,2,19
mos,2,18,5,30
mrk,16,2,13,48
mro,11,25,4,47
mrvl,4,1,7,11
ms,15,8,37,0
msci,8,26,2,19
msft,16,2,2,18
msi,16,26,2,18
mt,12,29,35,13
mtb,15,28,37,31
mtd,8,26,33,19
mtg,19,22,30,23
mtl,12,19,27,38
mtw,10,5,1,49
mu,4,15,23,17
mur,11,25,32,25
mxim,4,1,7,11
mygn,9,13,17,48
myl,9,13,17,27
nbl,2,25,32,25
nbr,11,7,4,1
ncr,8,1,7,11
ndaq,8,26,2,19
ne,11,25,4,47
nee,1,16,0,32
nem,3,3,3,45
nflx,5,23,29,22
nfx,11,25,38,25
nke,16,27,39,42
nlsn,16,2,26,4
nly,1,16,0,32
nnn,18,12,10,10
noc,16,2,2,18
nok,15,28,37,43
nov,2,25,32,21
nrg,2,4,36,20
nsc,8,26,2,19
ntap,4,1,7,11
ntes,5,23,29,22
ntrs,15,28,37,31
nuan,8,1,33,2
nue,10,29,5,30
nus,8,13,33,2
nvda,4,15,23,17
nvo,16,2,13,48
nvr,16,2,24,18
nvs,16,2,13,4
nwl,8,26,33,19
nxpi,4,15,23,17
nycb,16,26,2,18
o,18,12,10,10
oas,11,7,15,28
oc,10,11,24,34
odp,10,5,1,7
ohi,18,12,10,10
oi,10,11,5,24
oii,2,25,32,25
ois,11,25,38,25
oke,2,4,36,20
omc,8,26,2,19
on,4,15,23,17
orcl,8,26,33,19
orly,16,2,26,42
osk,10,11,5,7
oxy,2,4,32,21
paa,2,4,36,20
paas,3,3,3,3
pay,4,1,29,11
payx,16,2,2,18
pbct,16,26,2,18
pbr,0,21,21,39
pbr-a,0,21,21,39
pcar,10,11,19,24
pcg,1,16,0,32
pcln,8,13,29,2
peg,1,16,0,32
pep,1,16,26,4
pfe,16,2,13,48
pfg,15,28,37,0
pg,1,16,26,4
pgr,16,2,2,18
ph,10,11,5,24
phg,15,28,25,26
phm,13,17,20,14
pii,6,27,39,12
pkg,8,26,33,19
pkx,10,18,25,30
plce,6,0,6,12
pld,18,12,10,10
pm,1,16,26,4
pnc,15,28,37,31
pnr,10,11,5,24
pot,2,18,36,26
ppg,8,26,2,19
ppl,1,16,0,32
prgo,16,13,17,48
pru,15,28,37,0
psa,18,12,10,10
pten,11,25,4,1
ptr,2,18,25,26
pvh,6,0,34,41
pwr,10,11,5,24
px,16,26,2,18
pxd,11,25,38,25
qcom,8,1,7,11
qep,11,25,38,25
qvca,8,13,33,2
rad,8,13,33,2
rcl,10,11,19,7
rdc,11,25,4,47
rdn,19,22,30,23
rds-a,2,18,36,26
rds-b,2,18,36,26
re,16,2,26,18
reg,18,12,10,10
regn,9,20,28,16
rf,15,8,37,0
rgld,3,3,3,45
rht,4,1,7,11
rig,11,25,4,47
rio,12,29,35,30
rjf,15,28,37,31
rl,6,27,39,12
rmbs,4,15,23,17
rmd,16,13,13,18
rnr,16,2,26,4
rok,10,11,5,24
rop,8,26,2,19
rost,6,27,6,42
rrc,11,25,38,25
rs,10,29,5,30
rsg,16,2,26,4
rtn,16,2,26,18
ry,16,18,25,26
ryn,18,12,10,10
s,8,11,33,24
san,15,8,37,43
sanm,4,15,23,17
sap,8,26,2,26
sbac,16,2,26,4
sbux,8,13,39,42
scco,12,29,35,30
scg,1,16,0,32
schw,15,28,37,0
sdrl,11,7,4,47
sfun,5,23,12,35
shld,6,0,34,36
shpg,16,13,17,48
shw,16,2,13,18
sid,0,21,9,33
sig,8,27,39,12
sina,5,23,12,22
siri,8,13,33,2
sivb,15,28,37,0
six,16,2,26,18
sjm,1,2,26,4
skx,6,0,34,41
slb,2,25,32,21
slg,18,12,10,10
slm,15,28,19,31
sm,11,7,15,28
sne,8,26,2,26
snh,18,12,10,10
sni,8,26,2,19
snps,16,13,33,18
sny,16,26,2,26
so,1,16,0,32
soda,5,23,29,22
sohu,5,23,12,22
spg,18,12,10,10
spgi,16,26,2,18
spn,11,25,4,1
spr,8,11,19,24
spxc,10,11,5,7
srcl,16,2,26,18
sre,1,16,0,32
srpt,7,6,11,5
ssys,4,15,23,37
st,8,26,33,2
sti,15,8,37,0
stld,12,29,5,30
sto,2,18,32,21
stt,15,28,37,31
stwd,1,2,26,4
stx,4,1,7,11
stz,16,2,13,18
su,2,25,32,21
swk,8,11,19,24
swks,4,15,23,17
swn,11,25,4,47
syk,16,2,13,18
symc,8,26,33,19
syna,4,1,7,11
syy,1,2,26,4
t,1,16,26,4
tap,16,2,26,4
tco,18,12,10,10
td,16,18,2,26
tdc,8,1,7,11
tdg,16,26,2,18
tdw,11,7,4,47
teck,12,14,35,13
tef,15,18,25,26
tel,8,1,7,11
ter,4,15,23,17
teva,16,2,13,48
tex,10,5,1,49
tgna,10,11,19,24
tgt,16,2,6,42
thc,9,11,17,37
tif,6,27,39,12
tivo,8,1,33,2
tjx,16,27,6,42
tkr,10,11,5,7
tm,16,2,2,18
tmo,8,13,33,19
tmus,8,26,33,2
tol,13,17,20,14
tot,2,18,25,26
tpr,6,27,39,12
tpx,6,27,24,34
trgp,2,4,36,20
trmb,10,1,7,11
trn,10,5,1,7
trow,15,28,19,31
trv,16,2,26,18
ts,2,18,32,21
tsco,6,27,39,42
tsla,5,23,29,22
tsm,8,1,7,11
tsn,16,2,26,4
tss,8,26,2,19
ttm,10,18,25,26
ttwo,8,1,33,2
tup,8,26,33,19
tv,8,18,25,26
two,1,16,0,32
twx,8,26,2,19
txn,4,1,7,11
txt,10,11,19,24
uaa,6,27,34,41
ual,8,28,14,46
udr,18,12,10,10
uhs,8,13,17,48
ul,16,2,26,4
ulta,6,27,39,12
un,16,2,26,4
unh,16,2,13,48
unm,15,28,37,31
unp,8,26,2,19
ups,16,2,2,18
urbn,6,0,34,12
uri,10,5,1,49
usb,15,28,37,31
usg,13,17,20,14
uthr,9,20,17,27
utx,16,26,2,19
v,8,26,33,18
vale,0,21,9,33
var,16,13,13,48
vc,8,26,33,2
vfc,6,27,39,12
viav,4,15,23,17
vlo,10,11,19,24
vmc,10,11,24,24
vmw,4,1,7,11
vno,18,12,10,10
vod,16,2,13,18
vrsk,16,2,26,4
vrsn,8,13,33,2
vrtx,9,20,28,16
vrx,9,20,28,16
vtr,18,12,10,10
vz,1,16,26,4
wab,8,11,19,24
wat,8,13,33,19
wba,16,2,13,18
wbc,10,11,19,7
wcc,10,11,5,7
wcg,8,13,17,48
wdc,4,1,7,11
wdr,15,28,19,7
wec,1,16,0,32
wfc,15,28,37,31
wft,11,25,4,1
whr,10,11,24,34
win,1,2,26,4
wll,11,7,15,28
wltw,16,2,26,18
wm,16,2,26,4
wmb,2,4,36,20
wmt,1,16,26,4
wpm,3,3,3,3
wpz,2,4,36,20
wrb,16,2,26,18
wsm,6,27,39,12
wtw,8,13,33,2
wu,8,26,2,19
wy,8,26,19,19
wyn,8,11,19,24
wynn,5,23,29,15
x,12,14,18,29
xec,11,25,38,25
xel,1,16,0,32
xl,8,26,2,19
xlnx,4,1,7,11
xom,16,18,36,26
xrx,8,26,19,24
yndx,5,18,29,22
yum,16,2,33,18
zbh,16,2,13,48
zion,15,8,37,0
