Ticker,Cluster_K20,Cluster_K30,Cluster_K40,Cluster_K50
a,8,11,19,24
aa,10,29,5,30
aaba,8,13,33,2
aap,16,2,6,42
aapl,8,13,33,2
abb,8,18,25,26
abc,16,2,13,48
abev,16,18,25,26
abt,16,2,13,48
abx,3,3,3,45
acm,10,11,5,24
acn,16,26,2,18
adbe,8,13,33,2
adi,4,1,7,11
adm,16,26,2,18
adp,16,2,13,18
ads,8,13,33,2
adsk,4,1,7,11
aee,1,16,0,32
aem,3,3,3,45
aeo,6,0,34,36
aep,1,16,0,32
aer,10,11,19,24
aes,18,26,2,19
aet,16,13,13,48
afl,15,28,37,31
agco,10,11,5,24
agn,9,13,17,48
agnc,1,16,0,32
ago,15,28,22,0
agu,8,18,25,26
aig,15,28,37,31
aiz,16,26,2,18
akam,8,1,29,2
aks,12,14,18,29
alb,10,11,5,24
algn,8,13,19,2
alk,8,13,14,46
alks,9,20,28,16
all,16,26,2,18
alv,10,11,19,24
alxn,9,20,28,27
amat,4,1,7,11
amd,4,15,23,17
ame,8,26,33,19
amg,15,28,19,31
amgn,9,13,17,48
amp,15,28,37,31
amt,1,2,26,4
amtd,15,28,37,31
amx,8,18,25,26
amzn,8,13,33,2
an,6,27,39,12
andv,10,11,19,24
anf,6,0,34,36
anss,8,26,33,2
antm,16,2,13,48
aon,16,2,2,18
apa,2,25,32,25
apc,11,25,38,25
apd,8,26,2,19
aph,8,26,7,19
are,18,12,10,10
arrs,8,1,7,11
arw,4,1,7,11
asml,4,1,7,11
atge,8,26,2,19
athn,8,13,29,2
ati,12,29,35,13
atvi,16,13,33,18
au,3,3,3,45
auy,3,3,3,3
avb,18,12,10,10
avgo,4,1,7,11
avp,2,18,36,26
avt,4,1,7,11
awk,1,16,0,32
axp,8,26,2,31
axs,16,2,26,18
ayi,10,11,19,24
azn,16,2,13,4
azo,16,2,26,42
ba,8,26,2,19
bac,15,8,37,0
bam,16,26,2,26
bap,16,18,25,26
bax,16,2,13,4
bb,4,1,7,11
bbby,6,27,39,12
bbd,0,21,21,8
bbl,12,29,35,30
bbt,15,28,37,31
bby,6,0,6,12
bce,1,2,26,4
bcr,16,2,13,48
bcs,15,8,37,43
bdx,16,2,13,48
ben,15,28,19,31
bf-b,16,2,26,4
bg,16,26,2,19
bhp,12,29,35,30
bid,10,5,1,7
bidu,5,23,12,22
big,6,27,6,12
biib,9,20,28,27
bk,15,28,37,31
bkd,10,11,19,24
blk,8,28,19,31
bmo,16,18,2,26
bmrn,9,20,28,16
bmy,16,2,13,48
bp,2,18,36,21
brcd,4,1,7,11
brk-a,16,2,2,18
brk-b,16,2,2,18
bsbr,0,21,21,8
bsx,8,13,17,48
bti,16,2,26,4
bud,16,2,2,26
bwa,10,11,19,24
bwld,8,27,39,42
bx,10,11,19,24
bxp,18,12,10,10
c,15,8,37,0
ca,8,26,33,19
caa,13,17,20,14
cag,1,2,26,4
cah,16,2,13,48
cake,8,27,39,42
car,10,5,1,7
cat,10,11,5,24
cavm,4,15,23,17
cb,16,2,2,18
cbg,10,11,19,24
cbi,10,5,5,7
cboe,16,2,13,18
cbs,10,11,19,24
cce,16,2,2,18
