Ticker,Cluster
fnf,1
fnsr,4
fosl,8
fox,1
foxa,2
frc,11
frt,5
fslr,14
fti,9
ftnt,4
ftr,11
fwona,1
gd,1
ge,1
ges,8
gg,3
ggb,13
ggp,5
gild,15
gis,11
glw,2
gm,1
gme,8
gnw,16
gold,3
googl,1
gpn,1
gpor,7
gps,8
gra,2
grmn,1
gs,16
gsk,11
gt,0
gww,1
gxp,11
hain,1
hal,9
has,1
hban,16
hbi,8
hcn,5
hcp,5
hd,1
hdb,13
hes,9
hig,16
hl,3
hlf,1
hlx,7
hog,2
holx,1
hon,2
hp,7
hpq,1
hrb,1
hrl,11
hrs,1
hsbc,1
hsic,1
hst,5
hsy,11
htz,0
hum,1
hun,0
iac,1
iag,3
ibm,11
ibn,13
ice,1
idti,4
idxx,1
ilmn,15
incy,15
infy,1
ing,13
ingr,1
intc,1
intu,1
ions,15
ip,2
ipg,2
ir,2
irm,11
isrg,1
itt,2
itub,13
itw,2
ivz,16
jaso,6
jazz,15
jbht,1
jbl,4
jblu,19
jci,1
jcp,8
jec,2
jhg,16
jll,2
jnj,11
jnpr,4
jpm,16
jwn,8
k,11
kbh,12
kbr,0
key,16
kgc,3
kim,5
kkr,2
klac,4
kmb,11
kmx,2
knx,2
ko,11
kr,11
kss,8
ksu,2
l,1
lamr,2
laz,16
lb,8
lbtya,1
lbtyk,1
ldos,1
lea,2
len,12
lfc,13
lh,11
lii,2
lkq,1
ll,8
lll,1
lly,11
lm,16
lmt,11
lnc,16
lng,7
lnt,11
low,1
lpt,5
lrcx,4
luk,16
lulu,8
luv,19
lvlt,2
lvs,0
lyb,2
m,8
ma,1
maa,5
mac,5
man,2
mar,2
mas,12
mat,1
mbi,16
mbt,13
mcd,11
mchp,4
mck,11
mco,2
mdc,12
mdlz,11
mdr,9
mdt,1
meli,0
met,16
mfc,16
mga,2
mgm,0
mhk,2
mkc,11
mlco,17
mlm,2
mmc,1
mmm,1
mo,11
mon,1
mos,2
mrk,11
mro,9
mrvl,4
ms,16
msci,1
msft,1
msi,1
mt,13
mtb,16
mtd,2
mtg,10
mtl,14
mtw,0
mu,4
mur,9
mxim,4
mygn,1
myl,1
nbl,9
nbr,7
ncr,2
ndaq,1
ne,9
nee,11
nem,3
nflx,17
nfx,7
nke,1
nly,11
nnn,5
noc,1
nok,13
nov,9
nrg,11
nsc,2
ntap,4
ntes,17
ntrs,16
nuan,4
nue,2
nus,1
nvda,4
nvo,11
nvr,11
nvs,11
nwl,1
nxpi,4
nycb,1
o,5
oas,7
oc,2
odp,0
ohi,5
oi,2
oii,9
ois,9
oke,1
omc,1
on,4
orcl,1
orly,11
osk,0
oxy,9
paa,11
paas,3
pay,0
payx,1
pbct,1
pbr,13
pbr-a,13
pcar,2
pcg,11
pcln,1
peg,11
pep,11
pfe,11
pfg,16
pg,11
pgr,1
ph,2
phg,13
phm,12
pii,8
pkg,2
pkx,13
plce,8
pld,5
pm,11
pnc,16
pnr,2
pot,1
ppg,2
ppl,11
prgo,1
pru,16
psa,5
pten,7
ptr,13
pvh,8
pwr,2
px,1
pxd,7
qcom,1
qep,9
qvca,1
rad,2
rcl,0
rdc,9
rdn,10
rds-a,11
rds-b,11
re,11
reg,5
regn,15
rf,16
rgld,3
rht,4
rig,9
rio,13
rjf,16
rl,8
rmbs,4
rmd,1
rnr,11
rok,2
rop,1
rost,8
rrc,7
rs,2
rsg,11
rtn,11
ry,1
ryn,5
s,1
san,13
sanm,4
sap,1
sbac,11
sbux,1
scco,14
scg,11
schw,16
sdrl,9
sfun,17
shld,8
shpg,1
shw,1
sid,13
sig,2
sina,17
siri,1
sivb,16
six,11
sjm,11
skx,8
slb,9
slg,5
slm,16
sm,7
sne,1
snh,5
sni,1
snps,1
sny,1
so,11
soda,17
sohu,17
spg,5
spgi,1
spn,7
spr,2
spxc,2
srcl,11
sre,11
srpt,18
ssys,0
st,1
sti,16
stld,14
sto,9
stt,16
stwd,11
stx,4
stz,1
su,9
swk,2
swks,4
swn,9
syk,1
symc,1
syna,4
syy,11
t,11
tap,11
tco,5
td,1
tdc,1
tdg,1
tdw,9
teck,14
tef,13
tel,2
ter,4
teva,11
tex,0
tgna,2
tgt,11
thc,2
tif,8
tivo,1
tjx,8
tkr,0
tm,1
tmo,1
tmus,2
tol,12
tot,13
tpr,8
tpx,0
trgp,11
trmb,4
trn,0
trow,16
trv,11
ts,13
tsco,8
tsla,17
tsm,1
tsn,11
tss,1
ttm,13
ttwo,1
tup,1
tv,1
two,11
twx,1
txn,4
txt,2
uaa,8
ual,19
udr,5
uhs,1
ul,11
ulta,8
un,11
unh,1
unm,16
unp,2
ups,1
urbn,8
uri,0
usb,16
usg,12
uthr,15
utx,1
v,1
vale,13
var,1
vc,1
vfc,8
viav,4
vlo,2
vmc,2
vmw,4
vno,5
vod,11
vrsk,11
vrsn,1
vrtx,15
vrx,1
vtr,5
vz,11
wab,2
wat,1
wba,11
wbc,0
wcc,2
wcg,1
wdc,4
wdr,16
wec,11
wfc,16
wft,7
whr,2
win,11
wll,7
wltw,11
wm,11
wmb,9
wmt,11
wpm,3
wpz,11
wrb,11
wsm,8
wtw,1
wu,1
wy,2
wyn,2
wynn,0
x,14
xec,7
xel,11
xl,1
xlnx,4
xom,11
xrx,2
yum,1
zbh,1
zion,16
