Ticker,Cluster_K20,Cluster_K30,Cluster_K40,Cluster_K50
a,2,1,30,33
aa,2,27,16,46
aaba,1,2,28,32
aap,1,11,29,0
aapl,1,2,5,32
abb,13,19,0,23
abc,11,12,23,44
abev,11,19,0,23
abt,11,5,23,11
abx,3,4,3,4
acm,2,1,32,33
acn,1,2,5,32
adbe,1,2,14,32
adi,4,29,30,20
adm,1,12,10,22
adp,1,12,10,22
ads,1,2,14,16
adsk,4,29,30,10
aee,11,5,31,45
aem,3,4,3,4
aeo,8,20,20,37
aep,11,5,31,45
aer,2,1,32,33
aes,1,12,10,26
aet,1,12,28,22
afl,16,17,22,27
agco,2,27,16,46
agn,1,22,28,32
agnc,11,5,31,45
ago,16,9,34,41
agu,2,27,0,46
aig,16,17,22,27
aiz,1,12,10,22
akam,4,29,4,10
aks,14,23,25,21
alb,2,1,16,33
algn,2,1,14,33
alk,19,26,21,42
alks,15,15,6,13
all,1,12,10,22
alv,2,1,16,33
alxn,15,22,6,13
amat,4,29,30,20
amd,4,7,27,19
ame,2,2,32,26
amg,16,17,22,47
amgn,11,22,28,13
amp,16,17,22,27
amt,11,5,5,44
amtd,16,17,22,27
amx,1,12,0,23
amzn,1,11,4,16
an,8,11,29,0
andv,9,27,16,33
anf,8,20,20,37
anss,1,2,30,32
antm,1,12,10,22
aon,1,12,10,22
apa,9,0,1,38
apc,9,0,1,2
apd,1,2,5,26
aph,2,29,30,20
are,5,13,11,5
arrs,1,29,30,20
arw,4,29,30,20
asml,4,29,30,20
atge,1,2,10,22
athn,15,29,4,16
ati,14,18,25,17
atvi,1,12,5,32
au,3,4,3,4
auy,3,4,3,4
avb,5,13,11,5
avgo,4,29,27,20
avp,1,12,10,22
avt,4,29,30,20
awk,11,5,31,45
axp,1,2,22,27
axs,11,12,10,22
ayi,2,1,32,33
azn,11,12,23,44
azo,11,5,23,11
ba,1,2,32,26
bac,16,17,18,15
bam,1,12,0,26
bap,1,12,0,44
bax,11,12,23,44
bb,4,28,26,25
bbby,8,11,29,0
bbd,13,19,15,39
bbl,13,19,15,17
bbt,16,17,22,27
bby,8,20,29,37
bce,11,5,23,11
bcr,11,12,23,44
bcs,13,14,38,43
bdx,11,12,23,44
ben,2,17,22,27
bf-b,11,5,23,11
bg,1,12,5,44
bhp,13,19,15,17
bid,0,21,2,1
bidu,17,25,12,14
big,8,11,29,37
biib,15,22,6,13
bk,16,17,22,27
bkd,2,1,2,33
blk,2,17,22,27
bmo,1,12,0,44
bmrn,15,15,6,13
bmy,11,12,23,11
bp,9,12,0,38
brcd,4,29,30,20
brk-a,1,12,10,22
brk-b,1,12,10,22
bsbr,13,19,15,23
bsx,1,2,28,32
bti,11,12,23,44
bud,1,12,0,44
bwa,2,1,16,33
bwld,8,11,29,0
bx,2,1,22,47
bxp,5,13,11,5
c,16,17,18,15
ca,1,2,5,32
caa,12,6,9,9
cag,11,5,23,11
cah,1,12,28,22
cake,8,11,29,0
car,0,21,2,48
cat,2,27,16,46
cavm,4,7,27,19
cb,11,12,10,22
cbg,2,1,16,47
cbi,0,21,16,1
cboe,11,12,28,22
cbs,2,1,14,33
cce,1,12,5,44
cci,11,12,5,44
ccj,9,27,1,46
cck,1,12,5,44
ccl,2,2,32,27
cde,3,4,3,4
cdns,1,29,30,20
ce,0,27,16,1
celg,15,22,6,13
ceo,13,19,15,23
cern,1,2,28,32
cf,2,27,16,46
chd,11,5,23,11
chk,7,16,33,2
chkp,1,2,5,32
chl,11,12,23,44
chrw,1,12,5,26
chs,8,20,20,37
chtr,11,12,5,44
ci,1,2,10,22
cie,7,16,33,28
cien,4,7,36,34
cit,1,2,10,27
cl,11,5,23,11
clb,9,0,1,38
clf,14,18,17,29
clr,7,16,33,28
clx,11,5,23,11
cma,16,17,22,15
cmc,14,27,16,46
cmcsa,1,2,5,22
cme,1,2,10,27
cmg,8,11,29,16
cmi,0,21,16,1
cnc,1,2,14,16
cni,1,2,5,26
